Page ID,Page name,Disclaimer,Amount spent (MYR)
179976812184601,Ewon Ebin,Oscar Donavan E Ebin,≤100
262044791166,TV3 Malaysia,TV3 Malaysia,≤100
112882608285493,Cikgu Johari Abdullah,Parti Amanah Negara,≤100
1011160672261971,Parti Amanah Negara,OREN TV,≤100
109341278575338,BN COMMS BAGAN DATUK,Barisan Nasional,≤100
811566692326278,Ab Hamid,Salman Bin Mohd Zaki,≤100
282831539130120,Andre Lai 黎正興,Lai Chen Heng,≤100
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,≤100
663424353704332,sinarplus,SinarPlus,≤100
112394250233084,虎乳至宝,These ads ran without a disclaimer,≤100
369244243546,Kementerian Kewangan Malaysia,These ads ran without a disclaimer,≤100
479984515703584,SIAH Fishery,These ads ran without a disclaimer,≤100
500765600118362,CITYPlus,CITYPlus,≤100
111620640684771,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,≤100
414346502371601,Parti Pribumi Bersatu Malaysia Ipoh Timur,Khairul Azmel Bin Mohammed,≤100
109281180558241,刘薏雯,刘薏雯,≤100
759075027496624,Syerleena Abdul Rashid,Syerleena Abdul Rashid,≤100
103982948565334,Kluster Kayangan,Mohd Rais Bin Omar,≤100
149208308580838,Fuziah Salleh,Keadilan Rakyat,≤100
2185153884869227,Dewan Pemuda PAS Negeri Kedah - DPPNK,Adnan Bin Yusof,≤100
232346716925403,Majalah Forex Malaysia,MAJALAH FOREX MALAYSIA,≤100
180730792704301,Agora Society Malaysia 群议社,Lim Chee Han,≤100
109792845262508,Zanariyah Abdul Hamid,Widanita Shahnaz Bt Mohd Mokhsin,≤100
274030749389323,Pusat Khidmat ADUN Selama,These ads ran without a disclaimer,≤100
101320764797476,Free From Agenda,Mohd Ikhmal Abu Bakar,≤100
104141394931164,Kula Segaran P065,M.Kulasegaran A/l V.Murugeson,≤100
113733490027706,Nicole Wong 王晓庭,MCA,≤100
425695967637606,Sany Hamzan,AMANAH,≤100
225398407471122,黄日昇,黄日昇,≤100
131870563493026,OHBULAN!,Rev Media Group,≤100
1875700096018288,Tan Chee Hiong,Tan Chee Hiong,≤100
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100
330601991112027,Ulya Husamudin,Ulya Husamudin,≤100
108761254026335,Wanita Hamil,Evan Mcclarance Gundi Anak Kelvin Renggan,≤100
100805671460411,No.00000,These ads ran without a disclaimer,≤100
157670238393249,"Community Development Center, Parsa",These ads ran without a disclaimer,≤100
103581227696477,KAS Kenyalang,KAS KENYALANG,≤100
1860176704045973,PAS Kawasan Kuala Kedah,Muhammad Asyraf Bin Anor,≤100
101439082646437,邱培栋,kotamelaka.com,≤100
106853461821165,Anuar Daud,Rafi'uddin Bin Kamaruddin,≤100
100611362742567,MEDIA POINT,MEDIA POINT,≤100
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,≤100
108722695160066,Haji Mohamed Diah,Atiqah Husna,≤100
466564170033048,Pergerakan Pemuda UMNO Bahagian Sekijang,Mohd Hidayat Bin Mohd Nor,≤100
570175473079180,国际特赦组织中文 Amnesty International Chinese,These ads ran without a disclaimer,≤100
100256272901671,Johan Ropi,Johan Ropi,≤100
101184435294797,Mustafa Shah Abdul Hamid,These ads ran without a disclaimer,≤100
268449016963314,Azizul Kama Abd Aziz,Azizul Kama Abd Aziz,≤100
166412166242,Saifuddin Abdullah,Saifuddin Abdullah,≤100
102877578066277,R.S. Thanenthiran,R.S. Thanenthiran,≤100
337799410032578,Zahir Hassan,Mundzir Bin Zahir,≤100
105057232411843,Dr. Zaliha Mustafa,Ubaidillah Harith Shahrin,≤100
103211355844396,Nazari Mokhtar,Nazari Mokhtar,≤100
109611277872855,Wong Siew Mun - 黄绍敏,Wong Siew Mun - 黄绍敏,≤100
1173992416022994,Wardah Media,Muhamad Fazli Bin Abd Halim,≤100
713221472043013,Fahmi Bazlan,Fahmi Bazlan,≤100
1601785636742847,Muhammad Faiz Fadzil,AMANAH,≤100
593529354077239,Akmal Nasir,Akmal Nasir,≤100
1530618923841673,The Malaysia Online,The Malaysia Online,≤100
116228488411898,CIDB Malaysia,Construction Industrial Development Board (CIDB) Malaysia,≤100
112512589548367,Bersih dan Stabil : BEST,Malaysia Sejahtera,≤100
639585376056020,Aiman Athirah Sabu,AMANAH,≤100
2482822431743416,Info PRU P004 Langkawi,Muhamad Aiman Bin Mohd Nahzeri,≤100
239023542869472,Salahuddin Ayub,AMANAH,≤100
504436556623535,June Leow,Parti Keadilan Rakyat,≤100
674108052781088,圣约翰科技大学马来西亚校友会,These ads ran without a disclaimer,≤100
501503336612276,Ismail Sabri PM ke 9 dan ke 10,Aljojil Bin Hamsah,≤100
105912668889307,Dr Kwan Wai Hoe 关伟浩建材博士,Dr Kwan Wai Hoe 关伟浩建材博士,≤100
206671872710060,Rakyat Insight,Rakyat Insight,≤100
106765115432338,Kita Hulu Selangor,ASM Media,≤100
112512589548367,Bersih dan Stabil : BEST,Muhamad Fazli Bin Abd Halim,≤100
101863121947455,Dazma Shah,Dazma Shah,≤100
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,≤100
105849378942211,Liputan Malaysia MY,Liputan Malaysia,≤100
236402373940290,Syahredzan Johan,Syahredzan Johan,≤100
407262292721295,Barisan Nasional,Muhammad Faqiruddin Firdaus Bin Mohd Said,≤100
112644946778360,祥瑞神料行,These ads ran without a disclaimer,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
565488766825046,Hasbie Muda,AMANAH,≤100
105801292167668,Pembiayaan Peribadi Affin Bank,These ads ran without a disclaimer,≤100
108692655344959,答特先生 Mr. Doctor,These ads ran without a disclaimer,≤100
527705097706351,BebasNews,Rare Media Sdn. Bhd.,≤100
2164630037156785,Adly Zahari,Parti Amanah Negara,≤100
102442246017431,Mersing Kite,Qayyum Zakri,≤100
230445633883,Jabatan Penerangan Malaysia,Jabatan Penerangan Malaysia,≤100
637104136332122,The Malaysian Reserve,Media Mulia Sdn Bhd,≤100
106087238701219,"Daftar / Renew Kad Hijau, Lesen CIDB G1-G7",These ads ran without a disclaimer,≤100
1653704224842348,Kelvin Hii 许勋扬,Kelvin Hii 许勋扬,≤100
426888627377083,Notebook Custom Syifa,Notebook Custom Syifa,≤100
109629544854240,Harun Mohamed,AMANAH,≤100
712310215592506,郑立慷,Chang Lih Kang,≤100
102621122630588,Nor Azmiza Mamat,Parti Keadilan Rakyat,≤100
477406562334039,Dr Daroyah Alwi,Mohd Zul Aqmar Bin Saman,≤100
515881535150989,Dr Dzulkefly Ahmad,AMANAH,≤100
103688845108977,maggiexu0113,These ads ran without a disclaimer,≤100
768435539896684,TVS,TVS,≤100
179488829335875,CircleDNA,These ads ran without a disclaimer,≤100
