Page ID,Page name,Disclaimer,Amount spent (MYR)
492533987472161,PAS DUN Beserah,PAS DUN Beserah,≤100
108213478238644,AllSight Malaysia,AllSight Malaysia,≤100
287683225711,UN Environment Programme,UN Environment Programme,≤100
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,≤100
115195725281815,Noh Omar,Noh Omar,≤100
194176867658730,Chua Jian Boon 蔡建文,Jian Boon Chua,≤100
1792548424157249,Media Sungai Buloh P107,Media Sungai Buloh P107,≤100
1552968798293147,Suara.TV,Suara.TV,≤100
196573983368,Harakahdaily,JABATAN PENERANGAN,≤100
103883872539224,Ridhwan Rasman P156 Kota Tinggi,Umar Bin Abdul Aziz,≤100
107211378784840,牛熊投资 - 得牛熊得天下,These ads ran without a disclaimer,≤100
105849531564453,有间书馆,These ads ran without a disclaimer,≤100
169284053121990,Pemuda PAS Bangi,These ads ran without a disclaimer,≤100
212554495440954,Dato Sri Izudin Ishak,Izudin Bin Ishak,≤100
115531496522198,Ustaz Zamani Ibrahim,Ustaz Zamani Ibrahim,≤100
332747486848807,Sim Chon Siang 沈春祥,Sim Chon Siang 沈春祥,≤100
1635765436639544,Wan Rosdy bin Wan Ismail,These ads ran without a disclaimer,≤100
103028117867613,Mohd Fadzli Mohd Ramly Official,Mohd Fadzli Bin Mohd Ramly,≤100
620012405150360,One2FunCraft Studio 温度工作室,One2FunCraft Studio 温度工作室,≤100
105095057904484,William Leong 梁自坚,Swee Sheun Lee,≤100
112346154998937,Sahabat Rozi Mamat,Izham Bin Amiruddin,≤100
38348181435,Khalid Samad,AMANAH,≤100
1173992416022994,Wardah Media,Wardah Media,≤100
101598012770429,Razmi Sudin,These ads ran without a disclaimer,≤100
429038187157498,Nicole Tan Lee Koon（陳麗群）,Nicole Tan Lee Koon,≤100
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100
173935606013378,PahangKu Media,Muhamad Khalid Bin Tan,≤100
1831844263787221,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,≤100
102563918896038,Perikatan Nasional for Malaysia,Widanita Shahnaz Bt Mohd Mokhsin,≤100
166738750044444,Sunway Group,Christine Lim May Chuen,≤100
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,≤100
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,≤100
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,≤100
104637804225920,NTS Printing,NTS Printing,≤100
100570712093790,Salamiah Mohd Nor,These ads ran without a disclaimer,≤100
354288067957683,李政贤,These ads ran without a disclaimer,≤100
371737160366,Sarawak Update,Abdul Hakim Bin Bujang,≤100
102366124467442,KitaReporters.com,Ng Weng Thiam,≤100
112271548150918,Al Fahana,These ads ran without a disclaimer,≤100
100856848499442,Dr. Abd Latiff Ahmad,Mohd Ikhmal Abu Bakar,≤100
2164630037156785,Adly Zahari,AMANAH,≤100
111064911526774,Advanced Centre for Addiction Treatment Advocacy - ACATA,Advanced Centre for Addiction Treatment Advocacy - ACATA,≤100
1423737014545999,I'm Malaysian 我是马来西亚人,I'm Malaysian 我是马来西亚人,≤100
100470582836876,YB Nolee Radzi,Wan Harisun,≤100
105106755732039,Norwani Ahmat,AMANAH,≤100
355049075348500,Oka空气净化机,These ads ran without a disclaimer,≤100
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,≤100
239569229428097,IKEA,These ads ran without a disclaimer,≤100
188987354514778,PAS Pahang,Rafi'uddin Bin Kamaruddin,≤100
108761254026335,Wanita Hamil,Evan Mcclarance Gundi Anak Kelvin Renggan,≤100
173145969372908,Kumpulan Jihad Ekonomi,Kumpulan Jihad Ekonomi,≤100
430665967118189,Profesional Istiqamah,Profesional Istiqamah,≤100
100251029574040,Hj Lihin P141Sekijang,Norsyahril Bin Kamarudin,≤100
214066990599,Berita Harian Online,These ads ran without a disclaimer,≤100
139480122842692,OLDTOWN White Coffee Malaysia,These ads ran without a disclaimer,≤100
143451526401157,Abdul Rahim Tahir For P.063 Tambun,Abdul Rahim Bin Tahir,≤100
928874154117959,Azli Yusof,AMANAH,≤100
441795545991256,療癒天使的愛情聖殿-女巫Yvette,These ads ran without a disclaimer,≤100
262044791166,TV3 Malaysia,TV3 Malaysia,≤100
104488658370453,Wise Angel Training & Consultancy,These ads ran without a disclaimer,≤100
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100
109281180558241,刘薏雯,刘薏雯,≤100
369244243546,Kementerian Kewangan Malaysia,These ads ran without a disclaimer,≤100
332747486848807,Sim Chon Siang 沈春祥,Kerk Chun Beng,≤100
111129770301065,Siri Bestnya,Siri Bestnya,≤100
179976812184601,Ewon Ebin,Oscar Donavan E Ebin,≤100
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,≤100
100611362742567,MEDIA POINT,MEDIA POINT,≤100
471405192994807,Dr Hafidzah Mustakim,AMANAH,≤100
