Page ID,Page name,Disclaimer,Amount spent (MYR)
409798562536881,Ini Sabah Bah,Ini Sabah Bah,≤100
140910022595888,JHEV ATM,JHEV ATM,≤100
101979744919828,S. Jayagopi Calon BN N.30 Buntong,S. Jayagopi Calon BN N.30 Buntong,≤100
102208912218252,Ku Iskandar bin Ku Saad,Ku Iskandar Bin Ku Saad,≤100
100887355844244,Zulfadli Zakariah,Zulfadli Zakariah,≤100
420621651310007,Dr Mujahid Yusof Rawa,AMANAH,≤100
683300121730939,Cikgu Huda,AMANAH,≤100
713221472043013,Fahmi Bazlan,Fahmi Bazlan,≤100
110830488505576,Perikatan Nasional Klang,Muhammad Dzahiruddin Nasir,≤100
106620067784333,Fadhlina Sidek,Parti Keadilan Rakyat,≤100
185771248113677,Etihad Airways,These ads ran without a disclaimer,≤100
101416618626674,Sabah Media,Aramaitii media sdn bhd,≤100
225640738118687,Pakat Sokong Dato' Supardi,These ads ran without a disclaimer,≤100
221434224590749,TV PAS,TV PAS,≤100
105057232411843,Dr. Zaliha Mustafa,Ubaidillah Harith Shahrin,≤100
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,≤100
623786861080075,Mohd Sharkar Shamsudin,Muhamad Khalid Bin Tan,≤100
477406562334039,Dr Daroyah Alwi,Mohd Zul Aqmar Bin Saman,≤100
101838346071714,Wang Gaib Terpercaya,These ads ran without a disclaimer,≤100
101986295751246,Muhamad Khaider Kamil,Muhamad Khaider Kamil,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
103982948565334,Kluster Kayangan,Mohd Rais Bin Omar,≤100
100880168369396,Alternatif.press,Alternatif Press,≤100
101347726084425,"Maahad Tahfiz Darul Ulum Al-Furqani,Kelantan",These ads ran without a disclaimer,≤100
153786688607396,Ustaz Nurul Amin Hamid,Adnan Bin Yusof,≤100
450309788374603,Aminuddin Yahaya,Aminuddin Yahaya,≤100
104254692334112,Farhan Gopeng,Mohamed Tasryif Bin Omar,≤100
332038484056135,Hassanuddin Salim,Hassanuddin Salim,≤100
337799410032578,Zahir Hassan,Mundzir Bin Zahir,≤100
